Epoch: 1/800, Train Loss: 27.6277 (R:19.961, KL:0.000, C:7.667, Z:10.207), Val: 25.3458 *
Epoch: 10/800, Train Loss: 17.7501 (R:14.463, KL:0.006, C:3.281, Z:7.761), Val: 17.9690 *
Epoch: 20/800, Train Loss: 13.6722 (R:12.538, KL:0.020, C:1.114, Z:6.833), Val: 14.0922 *
Epoch: 30/800, Train Loss: 12.1199 (R:11.422, KL:0.040, C:0.658, Z:6.305), Val: 13.0302
Epoch: 40/800, Train Loss: 11.3227 (R:10.722, KL:0.061, C:0.539, Z:5.976), Val: 11.9595 *
Epoch: 50/800, Train Loss: 10.4723 (R:9.924, KL:0.081, C:0.467, Z:5.587), Val: 11.2391
Epoch: 60/800, Train Loss: 9.6765 (R:9.212, KL:0.102, C:0.362, Z:5.240), Val: 10.6321
Epoch: 70/800, Train Loss: 9.0932 (R:8.674, KL:0.122, C:0.297, Z:4.979), Val: 10.1633
Epoch: 80/800, Train Loss: 8.5265 (R:8.097, KL:0.140, C:0.289, Z:4.698), Val: 9.5706 *
Epoch: 90/800, Train Loss: 7.7412 (R:7.270, KL:0.163, C:0.308, Z:4.291), Val: 8.6414 *
Epoch: 100/800, Train Loss: 7.2104 (R:6.749, KL:0.184, C:0.278, Z:4.038), Val: 8.1599
Epoch: 110/800, Train Loss: 6.7570 (R:6.291, KL:0.188, C:0.278, Z:3.813), Val: 7.8050
Epoch: 120/800, Train Loss: 6.2762 (R:5.853, KL:0.191, C:0.232, Z:3.595), Val: 7.4553
Epoch: 130/800, Train Loss: 5.9103 (R:5.425, KL:0.193, C:0.293, Z:3.384), Val: 7.0855 *
Epoch: 140/800, Train Loss: 5.3178 (R:4.870, KL:0.195, C:0.252, Z:3.112), Val: 6.5094 *
Epoch: 150/800, Train Loss: 4.7966 (R:4.364, KL:0.199, C:0.234, Z:2.864), Val: 6.3002
Epoch: 160/800, Train Loss: 4.2836 (R:3.870, KL:0.201, C:0.213, Z:2.620), Val: 5.5450 *
Epoch: 170/800, Train Loss: 3.8956 (R:3.379, KL:0.202, C:0.315, Z:2.379), Val: 5.0989
Epoch: 180/800, Train Loss: 3.3342 (R:2.895, KL:0.204, C:0.235, Z:2.144), Val: 4.6093
Epoch: 190/800, Train Loss: 3.0888 (R:2.670, KL:0.205, C:0.214, Z:2.034), Val: 4.3711
Epoch: 200/800, Train Loss: 2.7703 (R:2.360, KL:0.208, C:0.203, Z:1.883), Val: 3.8740 *
Epoch: 210/800, Train Loss: 2.4241 (R:2.016, KL:0.206, C:0.201, Z:1.715), Val: 3.5720 *
Epoch: 220/800, Train Loss: 2.1380 (R:1.740, KL:0.207, C:0.190, Z:1.582), Val: 3.3276
Epoch: 230/800, Train Loss: 2.0261 (R:1.591, KL:0.207, C:0.229, Z:1.513), Val: 3.1427
Epoch: 240/800, Train Loss: 1.8742 (R:1.514, KL:0.206, C:0.154, Z:1.478), Val: 3.2518
