Epoch: 1/800, Train Loss: 27.6425 (R:19.927, KL:0.000, C:7.715, Z:10.216), Val: 25.4447 *
Epoch: 10/800, Train Loss: 16.7257 (R:14.173, KL:0.007, C:2.546, Z:7.622), Val: 16.9144 *
Epoch: 20/800, Train Loss: 13.7853 (R:12.695, KL:0.022, C:1.068, Z:6.922), Val: 14.3127 *
Epoch: 30/800, Train Loss: 12.1182 (R:11.342, KL:0.040, C:0.736, Z:6.268), Val: 12.9214 *
Epoch: 40/800, Train Loss: 10.8298 (R:10.249, KL:0.061, C:0.520, Z:5.736), Val: 11.7616 *
Epoch: 50/800, Train Loss: 9.9207 (R:9.419, KL:0.082, C:0.419, Z:5.335), Val: 10.8821 *
Epoch: 60/800, Train Loss: 9.3020 (R:8.822, KL:0.104, C:0.376, Z:5.048), Val: 10.4222
Epoch: 70/800, Train Loss: 8.7211 (R:8.296, KL:0.125, C:0.300, Z:4.793), Val: 9.9390 *
Epoch: 80/800, Train Loss: 8.1617 (R:7.736, KL:0.147, C:0.279, Z:4.520), Val: 9.5420
Epoch: 90/800, Train Loss: 7.5872 (R:7.156, KL:0.166, C:0.265, Z:4.239), Val: 9.0068
Epoch: 100/800, Train Loss: 7.1703 (R:6.736, KL:0.185, C:0.249, Z:4.035), Val: 8.6152
Epoch: 110/800, Train Loss: 6.6710 (R:6.240, KL:0.187, C:0.244, Z:3.792), Val: 8.0347
Epoch: 120/800, Train Loss: 6.1512 (R:5.758, KL:0.189, C:0.204, Z:3.555), Val: 7.8475
Epoch: 130/800, Train Loss: 5.6078 (R:5.180, KL:0.193, C:0.235, Z:3.265), Val: 7.0889 *
Epoch: 140/800, Train Loss: 4.9680 (R:4.580, KL:0.195, C:0.193, Z:2.965), Val: 6.3245 *
Epoch: 150/800, Train Loss: 4.5937 (R:4.154, KL:0.198, C:0.242, Z:2.753), Val: 6.0296
Epoch: 160/800, Train Loss: 4.1067 (R:3.707, KL:0.199, C:0.201, Z:2.534), Val: 5.4747 *
Epoch: 170/800, Train Loss: 3.7154 (R:3.342, KL:0.200, C:0.174, Z:2.356), Val: 5.0234
Epoch: 180/800, Train Loss: 3.4153 (R:3.056, KL:0.200, C:0.159, Z:2.216), Val: 4.7871 *
Epoch: 190/800, Train Loss: 3.1555 (R:2.762, KL:0.201, C:0.193, Z:2.069), Val: 4.7904
Epoch: 200/800, Train Loss: 2.8165 (R:2.455, KL:0.202, C:0.160, Z:1.917), Val: 4.3009 *
Epoch: 210/800, Train Loss: 2.5721 (R:2.199, KL:0.202, C:0.170, Z:1.791), Val: 3.8615 *
Epoch: 220/800, Train Loss: 2.2992 (R:1.967, KL:0.204, C:0.129, Z:1.680), Val: 3.5750 *
Epoch: 230/800, Train Loss: 2.1518 (R:1.780, KL:0.203, C:0.169, Z:1.591), Val: 3.8054
Epoch: 240/800, Train Loss: 2.0022 (R:1.644, KL:0.203, C:0.155, Z:1.529), Val: 3.5521
Epoch: 250/800, Train Loss: 1.8158 (R:1.491, KL:0.204, C:0.121, Z:1.455), Val: 3.3045
Epoch: 260/800, Train Loss: 1.7312 (R:1.376, KL:0.204, C:0.152, Z:1.403), Val: 3.1125
Epoch: 270/800, Train Loss: 1.4819 (R:1.146, KL:0.205, C:0.131, Z:1.294), Val: 2.9461
Epoch: 280/800, Train Loss: 1.3601 (R:1.014, KL:0.205, C:0.141, Z:1.233), Val: 2.8690
Epoch: 290/800, Train Loss: 1.3141 (R:0.967, KL:0.204, C:0.144, Z:1.212), Val: 3.0942
Epoch: 300/800, Train Loss: 1.1668 (R:0.836, KL:0.203, C:0.128, Z:1.151), Val: 3.0669
Epoch: 310/800, Train Loss: 1.1157 (R:0.785, KL:0.202, C:0.128, Z:1.129), Val: 2.7174
Epoch: 320/800, Train Loss: 1.0523 (R:0.740, KL:0.201, C:0.111, Z:1.109), Val: 2.7198
Epoch: 330/800, Train Loss: 0.9700 (R:0.667, KL:0.200, C:0.103, Z:1.077), Val: 2.4837
Epoch: 340/800, Train Loss: 0.9227 (R:0.610, KL:0.199, C:0.114, Z:1.054), Val: 2.6093
