Epoch: 1/800, Train Loss: 27.1802 (R:19.441, KL:0.000, C:7.739, Z:9.993), Val: 25.4448 *
Epoch: 10/800, Train Loss: 17.3247 (R:14.404, KL:0.007, C:2.914, Z:7.736), Val: 17.5628 *
Epoch: 20/800, Train Loss: 13.8115 (R:12.505, KL:0.021, C:1.286, Z:6.828), Val: 14.1700 *
Epoch: 30/800, Train Loss: 11.3971 (R:10.573, KL:0.038, C:0.786, Z:5.877), Val: 12.0648 *
Epoch: 40/800, Train Loss: 10.1717 (R:9.577, KL:0.059, C:0.535, Z:5.400), Val: 10.8936 *
Epoch: 50/800, Train Loss: 9.2077 (R:8.674, KL:0.080, C:0.453, Z:4.964), Val: 9.9713 *
Epoch: 60/800, Train Loss: 8.0910 (R:7.630, KL:0.103, C:0.358, Z:4.453), Val: 8.9285 *
Epoch: 70/800, Train Loss: 7.3813 (R:6.915, KL:0.127, C:0.339, Z:4.105), Val: 8.2543 *
Epoch: 80/800, Train Loss: 6.8011 (R:6.328, KL:0.150, C:0.323, Z:3.816), Val: 7.6773 *
Epoch: 90/800, Train Loss: 6.1480 (R:5.692, KL:0.170, C:0.286, Z:3.504), Val: 7.0398 *
Epoch: 100/800, Train Loss: 5.6959 (R:5.192, KL:0.191, C:0.313, Z:3.260), Val: 6.4609 *
Epoch: 110/800, Train Loss: 5.0970 (R:4.643, KL:0.194, C:0.261, Z:2.990), Val: 6.1904
Epoch: 120/800, Train Loss: 4.5997 (R:4.157, KL:0.197, C:0.246, Z:2.751), Val: 5.7021
Epoch: 130/800, Train Loss: 4.2042 (R:3.744, KL:0.200, C:0.260, Z:2.551), Val: 5.2370
Epoch: 140/800, Train Loss: 3.8433 (R:3.434, KL:0.200, C:0.209, Z:2.397), Val: 4.9648
Epoch: 150/800, Train Loss: 3.5510 (R:3.119, KL:0.200, C:0.231, Z:2.246), Val: 4.7609
Epoch: 160/800, Train Loss: 3.2475 (R:2.839, KL:0.203, C:0.206, Z:2.109), Val: 4.2824 *
Epoch: 170/800, Train Loss: 3.0288 (R:2.555, KL:0.204, C:0.270, Z:1.970), Val: 4.5515
Epoch: 180/800, Train Loss: 2.6950 (R:2.255, KL:0.205, C:0.235, Z:1.826), Val: 3.6494
Epoch: 190/800, Train Loss: 2.4517 (R:2.060, KL:0.205, C:0.186, Z:1.733), Val: 3.5181
Epoch: 200/800, Train Loss: 2.1950 (R:1.837, KL:0.206, C:0.153, Z:1.627), Val: 3.2100
Epoch: 210/800, Train Loss: 2.1926 (R:1.714, KL:0.206, C:0.272, Z:1.571), Val: 3.5451
Epoch: 220/800, Train Loss: 1.9485 (R:1.555, KL:0.204, C:0.189, Z:1.497), Val: 3.1673
Epoch: 230/800, Train Loss: 1.8867 (R:1.419, KL:0.205, C:0.263, Z:1.434), Val: 3.2251
Epoch: 240/800, Train Loss: 1.7279 (R:1.382, KL:0.205, C:0.140, Z:1.420), Val: 2.8626
Epoch: 250/800, Train Loss: 1.7064 (R:1.343, KL:0.205, C:0.158, Z:1.403), Val: 2.7670 *
Epoch: 260/800, Train Loss: 1.4980 (R:1.179, KL:0.205, C:0.114, Z:1.329), Val: 2.9365
Epoch: 270/800, Train Loss: 1.4408 (R:1.084, KL:0.205, C:0.151, Z:1.287), Val: 2.6910
Epoch: 280/800, Train Loss: 1.3212 (R:0.935, KL:0.206, C:0.181, Z:1.217), Val: 2.5266 *
Epoch: 290/800, Train Loss: 1.2591 (R:0.906, KL:0.206, C:0.147, Z:1.205), Val: 2.5990
Epoch: 300/800, Train Loss: 1.2300 (R:0.829, KL:0.205, C:0.196, Z:1.168), Val: 2.6177
Epoch: 310/800, Train Loss: 0.9920 (R:0.639, KL:0.205, C:0.148, Z:1.083), Val: 2.4233
Epoch: 320/800, Train Loss: 0.9485 (R:0.604, KL:0.206, C:0.138, Z:1.067), Val: 2.3830
Epoch: 330/800, Train Loss: 0.8082 (R:0.476, KL:0.207, C:0.125, Z:1.008), Val: 2.0206 *
Epoch: 340/800, Train Loss: 0.7798 (R:0.450, KL:0.207, C:0.123, Z:0.999), Val: 2.1641
Epoch: 350/800, Train Loss: 0.6643 (R:0.314, KL:0.206, C:0.144, Z:0.933), Val: 2.0482
Epoch: 360/800, Train Loss: 0.5779 (R:0.223, KL:0.207, C:0.149, Z:0.891), Val: 1.9804
Epoch: 370/800, Train Loss: 0.4598 (R:0.123, KL:0.207, C:0.129, Z:0.842), Val: 2.0378
Epoch: 380/800, Train Loss: 0.3758 (R:0.030, KL:0.206, C:0.139, Z:0.802), Val: 1.9673
Epoch: 390/800, Train Loss: 0.3465 (R:-0.004, KL:0.206, C:0.145, Z:0.786), Val: 1.7782
Epoch: 400/800, Train Loss: 0.3114 (R:-0.004, KL:0.207, C:0.109, Z:0.787), Val: 1.8656
Epoch: 410/800, Train Loss: 0.2770 (R:-0.081, KL:0.206, C:0.152, Z:0.748), Val: 1.7942
Epoch: 420/800, Train Loss: 0.1708 (R:-0.151, KL:0.205, C:0.117, Z:0.715), Val: 1.5253 *
Epoch: 430/800, Train Loss: 0.0920 (R:-0.235, KL:0.204, C:0.123, Z:0.680), Val: 1.5825
Epoch: 440/800, Train Loss: 0.0721 (R:-0.276, KL:0.205, C:0.143, Z:0.662), Val: 1.5077
Epoch: 450/800, Train Loss: 0.0110 (R:-0.296, KL:0.205, C:0.102, Z:0.651), Val: 1.6411
Epoch: 460/800, Train Loss: 0.0002 (R:-0.302, KL:0.204, C:0.098, Z:0.650), Val: 1.4783
Epoch: 470/800, Train Loss: -0.0419 (R:-0.357, KL:0.202, C:0.113, Z:0.622), Val: 1.5499
Epoch: 480/800, Train Loss: -0.0838 (R:-0.384, KL:0.203, C:0.097, Z:0.609), Val: 1.5582
Epoch: 490/800, Train Loss: 0.0056 (R:-0.351, KL:0.203, C:0.154, Z:0.624), Val: 1.5043
Epoch: 500/800, Train Loss: -0.0838 (R:-0.370, KL:0.203, C:0.083, Z:0.615), Val: 1.6221
Epoch: 510/800, Train Loss: -0.1426 (R:-0.436, KL:0.203, C:0.090, Z:0.590), Val: 1.4601
Epoch: 520/800, Train Loss: -0.0863 (R:-0.429, KL:0.203, C:0.140, Z:0.591), Val: 1.7352
Epoch: 530/800, Train Loss: -0.1355 (R:-0.418, KL:0.202, C:0.080, Z:0.593), Val: 1.9549
Epoch: 540/800, Train Loss: -0.1698 (R:-0.460, KL:0.201, C:0.089, Z:0.575), Val: 1.4117
Epoch: 550/800, Train Loss: -0.1829 (R:-0.451, KL:0.201, C:0.067, Z:0.580), Val: 1.6153
Epoch: 560/800, Train Loss: -0.1928 (R:-0.471, KL:0.201, C:0.078, Z:0.568), Val: 1.6518
Epoch: 570/800, Train Loss: -0.2044 (R:-0.517, KL:0.200, C:0.113, Z:0.550), Val: 1.9695
Epoch: 580/800, Train Loss: -0.2001 (R:-0.524, KL:0.200, C:0.124, Z:0.545), Val: 1.9174
Epoch: 590/800, Train Loss: -0.3031 (R:-0.570, KL:0.200, C:0.067, Z:0.522), Val: 1.5492
Epoch: 600/800, Train Loss: -0.2983 (R:-0.579, KL:0.200, C:0.081, Z:0.520), Val: 1.4768
Epoch: 610/800, Train Loss: -0.3073 (R:-0.585, KL:0.200, C:0.078, Z:0.517), Val: 1.5670
Epoch: 620/800, Train Loss: -0.1688 (R:-0.500, KL:0.200, C:0.131, Z:0.556), Val: 1.7103
Early stopping triggered after 627 epochs
Loaded best model from epoch 567
