Epoch: 1/800, Train Loss: 27.4496 (R:19.621, KL:0.000, C:7.828, Z:10.079), Val: 25.3416 *
Epoch: 10/800, Train Loss: 17.2542 (R:14.282, KL:0.007, C:2.965, Z:7.672), Val: 17.6058 *
Epoch: 20/800, Train Loss: 13.2739 (R:12.051, KL:0.022, C:1.201, Z:6.588), Val: 13.7659 *
Epoch: 30/800, Train Loss: 11.3076 (R:10.534, KL:0.041, C:0.733, Z:5.856), Val: 11.7673 *
Epoch: 40/800, Train Loss: 10.1228 (R:9.525, KL:0.062, C:0.535, Z:5.375), Val: 11.0030
Epoch: 50/800, Train Loss: 9.4780 (R:8.981, KL:0.084, C:0.414, Z:5.121), Val: 10.3587 *
Epoch: 60/800, Train Loss: 8.8761 (R:8.404, KL:0.105, C:0.367, Z:4.847), Val: 10.1805
Epoch: 70/800, Train Loss: 8.1005 (R:7.658, KL:0.127, C:0.315, Z:4.481), Val: 9.1486 *
Epoch: 80/800, Train Loss: 7.3351 (R:6.894, KL:0.150, C:0.291, Z:4.105), Val: 8.3991 *
Epoch: 90/800, Train Loss: 6.5831 (R:6.140, KL:0.174, C:0.270, Z:3.734), Val: 7.7800
Epoch: 100/800, Train Loss: 5.8368 (R:5.368, KL:0.196, C:0.273, Z:3.350), Val: 7.0138 *
Epoch: 110/800, Train Loss: 5.1702 (R:4.716, KL:0.199, C:0.255, Z:3.026), Val: 6.3870
Epoch: 120/800, Train Loss: 4.6612 (R:4.187, KL:0.202, C:0.272, Z:2.766), Val: 5.8882 *
Epoch: 130/800, Train Loss: 4.1980 (R:3.721, KL:0.205, C:0.272, Z:2.538), Val: 5.7377
Epoch: 140/800, Train Loss: 3.8428 (R:3.435, KL:0.207, C:0.201, Z:2.397), Val: 5.0137 *
Epoch: 150/800, Train Loss: 3.6274 (R:3.127, KL:0.207, C:0.293, Z:2.246), Val: 4.8155
Epoch: 160/800, Train Loss: 3.2596 (R:2.837, KL:0.207, C:0.216, Z:2.105), Val: 4.3120 *
Epoch: 170/800, Train Loss: 3.1358 (R:2.625, KL:0.208, C:0.303, Z:2.001), Val: 4.2619
Epoch: 180/800, Train Loss: 2.7749 (R:2.368, KL:0.207, C:0.200, Z:1.874), Val: 4.0960
Epoch: 190/800, Train Loss: 2.6456 (R:2.230, KL:0.207, C:0.209, Z:1.805), Val: 3.9508
Epoch: 200/800, Train Loss: 2.4866 (R:2.048, KL:0.206, C:0.233, Z:1.719), Val: 3.6705 *
Epoch: 210/800, Train Loss: 2.3325 (R:1.903, KL:0.205, C:0.225, Z:1.648), Val: 3.9276
Epoch: 220/800, Train Loss: 2.1555 (R:1.765, KL:0.204, C:0.186, Z:1.582), Val: 3.5903
Epoch: 230/800, Train Loss: 2.0871 (R:1.683, KL:0.204, C:0.200, Z:1.543), Val: 3.6247
Epoch: 240/800, Train Loss: 1.9576 (R:1.566, KL:0.203, C:0.188, Z:1.489), Val: 3.5096
Epoch: 250/800, Train Loss: 1.9133 (R:1.520, KL:0.203, C:0.190, Z:1.468), Val: 3.3388
Epoch: 260/800, Train Loss: 1.8598 (R:1.490, KL:0.203, C:0.167, Z:1.453), Val: 3.6049
Epoch: 270/800, Train Loss: 1.7030 (R:1.366, KL:0.201, C:0.136, Z:1.396), Val: 3.1223 *
Epoch: 280/800, Train Loss: 1.6990 (R:1.349, KL:0.202, C:0.148, Z:1.385), Val: 3.3412
Epoch: 290/800, Train Loss: 1.5916 (R:1.267, KL:0.202, C:0.123, Z:1.347), Val: 3.4324
Epoch: 300/800, Train Loss: 1.5709 (R:1.175, KL:0.203, C:0.194, Z:1.300), Val: 3.1784
Epoch: 310/800, Train Loss: 1.3761 (R:1.041, KL:0.202, C:0.133, Z:1.236), Val: 2.9922
Epoch: 320/800, Train Loss: 1.2235 (R:0.888, KL:0.203, C:0.132, Z:1.163), Val: 2.7396 *
Epoch: 330/800, Train Loss: 1.1136 (R:0.755, KL:0.203, C:0.156, Z:1.101), Val: 2.6237
Epoch: 340/800, Train Loss: 0.8564 (R:0.546, KL:0.205, C:0.106, Z:1.007), Val: 2.5286
