Epoch: 1/800, Train Loss: 28.5524 (R:20.582, KL:0.000, C:7.970, Z:10.488), Val: 25.6168 *
Epoch: 10/800, Train Loss: 17.1412 (R:14.391, KL:0.007, C:2.743, Z:7.727), Val: 17.4033 *
Epoch: 20/800, Train Loss: 13.4975 (R:12.424, KL:0.023, C:1.051, Z:6.776), Val: 14.0605 *
Epoch: 30/800, Train Loss: 11.4571 (R:10.724, KL:0.044, C:0.690, Z:5.952), Val: 12.0956 *
Epoch: 40/800, Train Loss: 10.1637 (R:9.606, KL:0.068, C:0.490, Z:5.417), Val: 11.0348
Epoch: 50/800, Train Loss: 9.5802 (R:9.080, KL:0.091, C:0.410, Z:5.172), Val: 10.5233
Epoch: 60/800, Train Loss: 9.0672 (R:8.595, KL:0.112, C:0.360, Z:4.941), Val: 10.1160 *
Epoch: 70/800, Train Loss: 8.4187 (R:7.991, KL:0.134, C:0.294, Z:4.643), Val: 9.4391 *
Epoch: 80/800, Train Loss: 7.7255 (R:7.312, KL:0.154, C:0.259, Z:4.310), Val: 8.8353 *
Epoch: 90/800, Train Loss: 7.1892 (R:6.734, KL:0.174, C:0.281, Z:4.026), Val: 8.4575
Epoch: 100/800, Train Loss: 6.6992 (R:6.247, KL:0.193, C:0.259, Z:3.789), Val: 7.8542
Epoch: 110/800, Train Loss: 6.1864 (R:5.756, KL:0.194, C:0.236, Z:3.550), Val: 7.3840 *
Epoch: 120/800, Train Loss: 5.6136 (R:5.168, KL:0.196, C:0.249, Z:3.261), Val: 6.7648 *
Epoch: 130/800, Train Loss: 5.0661 (R:4.657, KL:0.198, C:0.211, Z:3.010), Val: 6.2054 *
Epoch: 140/800, Train Loss: 4.6592 (R:4.234, KL:0.199, C:0.227, Z:2.802), Val: 5.8036 *
Epoch: 150/800, Train Loss: 4.3498 (R:3.968, KL:0.199, C:0.182, Z:2.674), Val: 5.5289 *
Epoch: 160/800, Train Loss: 3.9614 (R:3.620, KL:0.199, C:0.142, Z:2.505), Val: 5.2219
Epoch: 170/800, Train Loss: 3.5828 (R:3.218, KL:0.200, C:0.165, Z:2.305), Val: 5.1191
Epoch: 180/800, Train Loss: 3.2658 (R:2.850, KL:0.202, C:0.213, Z:2.118), Val: 4.4025 *
Epoch: 190/800, Train Loss: 2.8858 (R:2.474, KL:0.203, C:0.209, Z:1.932), Val: 3.9333 *
Epoch: 200/800, Train Loss: 2.5097 (R:2.134, KL:0.204, C:0.172, Z:1.765), Val: 3.6423
Epoch: 210/800, Train Loss: 2.2403 (R:1.840, KL:0.204, C:0.196, Z:1.624), Val: 3.2555 *
Epoch: 220/800, Train Loss: 1.9069 (R:1.562, KL:0.204, C:0.141, Z:1.491), Val: 3.0504
Epoch: 230/800, Train Loss: 1.6885 (R:1.336, KL:0.205, C:0.148, Z:1.384), Val: 2.7571 *
Epoch: 240/800, Train Loss: 1.5296 (R:1.154, KL:0.204, C:0.171, Z:1.300), Val: 2.8446
Epoch: 250/800, Train Loss: 1.4077 (R:1.048, KL:0.204, C:0.156, Z:1.252), Val: 2.6908
Epoch: 260/800, Train Loss: 1.2147 (R:0.880, KL:0.202, C:0.133, Z:1.179), Val: 2.5132
Epoch: 270/800, Train Loss: 1.1501 (R:0.780, KL:0.202, C:0.169, Z:1.131), Val: 2.2134 *
Epoch: 280/800, Train Loss: 0.9970 (R:0.700, KL:0.201, C:0.096, Z:1.095), Val: 2.2982
Epoch: 290/800, Train Loss: 0.9252 (R:0.589, KL:0.200, C:0.136, Z:1.045), Val: 2.1666 *
Epoch: 300/800, Train Loss: 0.8486 (R:0.527, KL:0.200, C:0.122, Z:1.014), Val: 2.4148
Epoch: 310/800, Train Loss: 0.7791 (R:0.415, KL:0.200, C:0.163, Z:0.964), Val: 2.1814
Epoch: 320/800, Train Loss: 0.6442 (R:0.334, KL:0.201, C:0.109, Z:0.926), Val: 1.8644
Epoch: 330/800, Train Loss: 0.5630 (R:0.257, KL:0.200, C:0.106, Z:0.890), Val: 2.1249
