Epoch: 1/800, Train Loss: 27.2454 (R:19.634, KL:0.000, C:7.611, Z:10.076), Val: 25.2820 *
Epoch: 10/800, Train Loss: 17.0311 (R:14.561, KL:0.006, C:2.464, Z:7.818), Val: 17.5104 *
Epoch: 20/800, Train Loss: 13.9775 (R:12.895, KL:0.020, C:1.063, Z:7.023), Val: 14.4439 *
Epoch: 30/800, Train Loss: 12.2008 (R:11.366, KL:0.037, C:0.797, Z:6.275), Val: 12.7855 *
Epoch: 40/800, Train Loss: 10.8180 (R:10.225, KL:0.058, C:0.535, Z:5.725), Val: 11.5431 *
Epoch: 50/800, Train Loss: 10.1905 (R:9.616, KL:0.079, C:0.495, Z:5.435), Val: 11.1575
Epoch: 60/800, Train Loss: 9.2931 (R:8.801, KL:0.098, C:0.394, Z:5.033), Val: 10.1053 *
Epoch: 70/800, Train Loss: 8.4156 (R:7.942, KL:0.118, C:0.356, Z:4.613), Val: 9.1869 *
Epoch: 80/800, Train Loss: 7.5397 (R:7.067, KL:0.137, C:0.336, Z:4.180), Val: 8.4795
Epoch: 90/800, Train Loss: 6.8713 (R:6.397, KL:0.160, C:0.315, Z:3.853), Val: 7.4671 *
Epoch: 100/800, Train Loss: 6.3055 (R:5.784, KL:0.181, C:0.341, Z:3.553), Val: 7.0787 *
Epoch: 110/800, Train Loss: 5.8419 (R:5.361, KL:0.183, C:0.298, Z:3.351), Val: 6.6876 *
Epoch: 120/800, Train Loss: 5.5241 (R:5.015, KL:0.185, C:0.324, Z:3.187), Val: 6.5693
Epoch: 130/800, Train Loss: 5.1698 (R:4.698, KL:0.187, C:0.285, Z:3.037), Val: 6.0227 *
Epoch: 140/800, Train Loss: 4.9147 (R:4.405, KL:0.189, C:0.321, Z:2.896), Val: 5.9404
Epoch: 150/800, Train Loss: 4.5432 (R:4.110, KL:0.190, C:0.243, Z:2.752), Val: 5.4702
Epoch: 160/800, Train Loss: 4.1412 (R:3.695, KL:0.193, C:0.253, Z:2.547), Val: 5.0738 *
Epoch: 170/800, Train Loss: 3.6965 (R:3.285, KL:0.195, C:0.216, Z:2.346), Val: 4.7275 *
Epoch: 180/800, Train Loss: 3.4205 (R:3.019, KL:0.196, C:0.206, Z:2.217), Val: 4.6154
Epoch: 190/800, Train Loss: 3.1645 (R:2.736, KL:0.198, C:0.231, Z:2.081), Val: 4.1891 *
Epoch: 200/800, Train Loss: 2.8972 (R:2.473, KL:0.199, C:0.225, Z:1.955), Val: 3.9091 *
Epoch: 210/800, Train Loss: 2.7031 (R:2.238, KL:0.201, C:0.265, Z:1.839), Val: 3.8654
Epoch: 220/800, Train Loss: 2.4269 (R:2.011, KL:0.203, C:0.213, Z:1.729), Val: 3.4646 *
Epoch: 230/800, Train Loss: 2.1604 (R:1.744, KL:0.203, C:0.213, Z:1.600), Val: 3.5330
Epoch: 240/800, Train Loss: 2.0141 (R:1.612, KL:0.204, C:0.198, Z:1.535), Val: 3.3569
Epoch: 250/800, Train Loss: 1.9040 (R:1.456, KL:0.204, C:0.243, Z:1.458), Val: 3.0786
Epoch: 260/800, Train Loss: 1.8312 (R:1.391, KL:0.204, C:0.236, Z:1.428), Val: 2.7967 *
Epoch: 270/800, Train Loss: 1.5753 (R:1.170, KL:0.203, C:0.202, Z:1.320), Val: 2.7448
Epoch: 280/800, Train Loss: 1.4768 (R:1.109, KL:0.203, C:0.165, Z:1.293), Val: 2.9222
Epoch: 290/800, Train Loss: 1.3920 (R:1.007, KL:0.203, C:0.182, Z:1.243), Val: 2.6516
Epoch: 300/800, Train Loss: 1.4060 (R:1.001, KL:0.202, C:0.204, Z:1.241), Val: 2.4334
Epoch: 310/800, Train Loss: 1.2755 (R:0.890, KL:0.202, C:0.184, Z:1.189), Val: 2.4962
Epoch: 320/800, Train Loss: 1.2047 (R:0.848, KL:0.202, C:0.155, Z:1.169), Val: 2.7703
Epoch: 330/800, Train Loss: 1.1778 (R:0.763, KL:0.202, C:0.212, Z:1.130), Val: 2.5603
Epoch: 340/800, Train Loss: 1.0185 (R:0.642, KL:0.200, C:0.176, Z:1.070), Val: 2.8836
Epoch: 350/800, Train Loss: 0.9574 (R:0.571, KL:0.202, C:0.185, Z:1.037), Val: 2.1318 *
Epoch: 360/800, Train Loss: 0.8013 (R:0.433, KL:0.202, C:0.166, Z:0.968), Val: 2.1409
Epoch: 370/800, Train Loss: 0.6929 (R:0.363, KL:0.202, C:0.129, Z:0.935), Val: 2.3997
Epoch: 380/800, Train Loss: 0.6564 (R:0.289, KL:0.203, C:0.165, Z:0.901), Val: 2.2274
Epoch: 390/800, Train Loss: 0.7066 (R:0.308, KL:0.201, C:0.198, Z:0.907), Val: 1.8088 *
Epoch: 400/800, Train Loss: 0.5812 (R:0.227, KL:0.200, C:0.153, Z:0.873), Val: 1.9415
Epoch: 410/800, Train Loss: 0.5785 (R:0.200, KL:0.201, C:0.178, Z:0.859), Val: 2.1057
