Epoch: 1/800, Train Loss: 27.8452 (R:20.054, KL:0.000, C:7.791, Z:10.265), Val: 25.2579 *
Epoch: 10/800, Train Loss: 16.9684 (R:13.725, KL:0.007, C:3.237, Z:7.389), Val: 17.1028 *
Epoch: 20/800, Train Loss: 13.1110 (R:11.706, KL:0.022, C:1.383, Z:6.419), Val: 13.6036 *
Epoch: 30/800, Train Loss: 11.7246 (R:10.849, KL:0.040, C:0.835, Z:6.016), Val: 12.5037
Epoch: 40/800, Train Loss: 10.7193 (R:10.040, KL:0.061, C:0.618, Z:5.627), Val: 11.5376 *
Epoch: 50/800, Train Loss: 9.8131 (R:9.231, KL:0.083, C:0.499, Z:5.236), Val: 10.8115
Epoch: 60/800, Train Loss: 9.0231 (R:8.491, KL:0.105, C:0.428, Z:4.877), Val: 9.8670 *
Epoch: 70/800, Train Loss: 8.1609 (R:7.636, KL:0.128, C:0.397, Z:4.456), Val: 9.0331 *
Epoch: 80/800, Train Loss: 7.5203 (R:7.021, KL:0.151, C:0.349, Z:4.157), Val: 8.6430
Epoch: 90/800, Train Loss: 7.0355 (R:6.531, KL:0.172, C:0.332, Z:3.919), Val: 7.9430 *
Epoch: 100/800, Train Loss: 6.7435 (R:6.244, KL:0.192, C:0.307, Z:3.779), Val: 7.7634
Epoch: 110/800, Train Loss: 6.3995 (R:5.923, KL:0.192, C:0.284, Z:3.622), Val: 7.4654
Epoch: 120/800, Train Loss: 6.1269 (R:5.671, KL:0.195, C:0.261, Z:3.498), Val: 7.0529 *
Epoch: 130/800, Train Loss: 5.6991 (R:5.205, KL:0.196, C:0.298, Z:3.269), Val: 6.7641 *
Epoch: 140/800, Train Loss: 5.2561 (R:4.767, KL:0.197, C:0.292, Z:3.053), Val: 6.5402
Epoch: 150/800, Train Loss: 4.8109 (R:4.392, KL:0.199, C:0.220, Z:2.871), Val: 6.1932
Epoch: 160/800, Train Loss: 4.3844 (R:3.886, KL:0.201, C:0.298, Z:2.624), Val: 5.3644 *
Epoch: 170/800, Train Loss: 3.9340 (R:3.449, KL:0.204, C:0.281, Z:2.412), Val: 4.9874
Epoch: 180/800, Train Loss: 3.4338 (R:2.981, KL:0.206, C:0.246, Z:2.186), Val: 4.6574
Epoch: 190/800, Train Loss: 3.2313 (R:2.759, KL:0.209, C:0.263, Z:2.076), Val: 4.5984
Epoch: 200/800, Train Loss: 2.9981 (R:2.501, KL:0.208, C:0.290, Z:1.950), Val: 4.3232
Epoch: 210/800, Train Loss: 2.7412 (R:2.313, KL:0.208, C:0.220, Z:1.860), Val: 4.2224
Epoch: 220/800, Train Loss: 2.5439 (R:2.134, KL:0.208, C:0.202, Z:1.774), Val: 3.6844
Epoch: 230/800, Train Loss: 2.4031 (R:1.965, KL:0.208, C:0.230, Z:1.692), Val: 3.7263
