Epoch: 1/800, Train Loss: 27.5700 (R:19.871, KL:0.000, C:7.699, Z:10.184), Val: 25.0960 *
Epoch: 10/800, Train Loss: 17.7335 (R:14.281, KL:0.007, C:3.446, Z:7.681), Val: 18.0022 *
Epoch: 20/800, Train Loss: 13.3414 (R:12.073, KL:0.020, C:1.248, Z:6.604), Val: 13.7079 *
Epoch: 30/800, Train Loss: 11.2621 (R:10.486, KL:0.040, C:0.736, Z:5.838), Val: 11.9190 *
Epoch: 40/800, Train Loss: 9.9512 (R:9.357, KL:0.062, C:0.532, Z:5.297), Val: 11.0465
Epoch: 50/800, Train Loss: 9.2990 (R:8.794, KL:0.083, C:0.421, Z:5.035), Val: 10.1797 *
Epoch: 60/800, Train Loss: 8.7290 (R:8.209, KL:0.104, C:0.415, Z:4.754), Val: 9.6566 *
Epoch: 70/800, Train Loss: 7.9772 (R:7.493, KL:0.126, C:0.358, Z:4.405), Val: 8.8400 *
Epoch: 80/800, Train Loss: 7.2101 (R:6.733, KL:0.148, C:0.329, Z:4.035), Val: 8.4434
Epoch: 90/800, Train Loss: 6.5685 (R:6.088, KL:0.172, C:0.309, Z:3.721), Val: 7.7439 *
Epoch: 100/800, Train Loss: 6.0897 (R:5.586, KL:0.194, C:0.309, Z:3.476), Val: 7.2277 *
Epoch: 110/800, Train Loss: 5.5354 (R:5.030, KL:0.198, C:0.307, Z:3.206), Val: 6.6494 *
Epoch: 120/800, Train Loss: 5.0535 (R:4.564, KL:0.202, C:0.288, Z:2.980), Val: 6.2984
Epoch: 130/800, Train Loss: 4.5748 (R:4.072, KL:0.204, C:0.299, Z:2.744), Val: 5.6380 *
Epoch: 140/800, Train Loss: 4.1349 (R:3.671, KL:0.206, C:0.258, Z:2.545), Val: 5.3886
Epoch: 150/800, Train Loss: 3.5881 (R:3.150, KL:0.209, C:0.230, Z:2.288), Val: 4.8336
Epoch: 160/800, Train Loss: 3.1844 (R:2.719, KL:0.211, C:0.253, Z:2.073), Val: 4.2860 *
Epoch: 170/800, Train Loss: 2.8318 (R:2.362, KL:0.212, C:0.258, Z:1.895), Val: 4.2387
Epoch: 180/800, Train Loss: 2.5706 (R:2.093, KL:0.212, C:0.265, Z:1.764), Val: 3.6387 *
Epoch: 190/800, Train Loss: 2.3620 (R:1.879, KL:0.210, C:0.272, Z:1.661), Val: 3.5213
Epoch: 200/800, Train Loss: 2.1587 (R:1.705, KL:0.210, C:0.243, Z:1.579), Val: 3.3715
Epoch: 210/800, Train Loss: 2.0181 (R:1.569, KL:0.209, C:0.240, Z:1.516), Val: 3.2401
Epoch: 220/800, Train Loss: 1.9071 (R:1.471, KL:0.208, C:0.228, Z:1.469), Val: 3.3256
Epoch: 230/800, Train Loss: 1.7815 (R:1.354, KL:0.208, C:0.220, Z:1.416), Val: 2.8848 *
Epoch: 240/800, Train Loss: 1.6456 (R:1.269, KL:0.207, C:0.170, Z:1.376), Val: 2.9024
Epoch: 250/800, Train Loss: 1.6543 (R:1.250, KL:0.206, C:0.198, Z:1.369), Val: 2.9682
Epoch: 260/800, Train Loss: 1.5508 (R:1.157, KL:0.206, C:0.188, Z:1.325), Val: 2.8718
Epoch: 270/800, Train Loss: 1.4947 (R:1.118, KL:0.205, C:0.172, Z:1.309), Val: 2.7375
Epoch: 280/800, Train Loss: 1.3487 (R:0.996, KL:0.206, C:0.147, Z:1.255), Val: 2.6917
Epoch: 290/800, Train Loss: 1.2798 (R:0.938, KL:0.205, C:0.137, Z:1.228), Val: 2.7860
Epoch: 300/800, Train Loss: 1.3433 (R:0.964, KL:0.205, C:0.174, Z:1.237), Val: 2.7122
Epoch: 310/800, Train Loss: 1.2063 (R:0.847, KL:0.205, C:0.154, Z:1.189), Val: 2.6338
Epoch: 320/800, Train Loss: 1.1293 (R:0.785, KL:0.205, C:0.139, Z:1.160), Val: 2.4361
Epoch: 330/800, Train Loss: 1.0666 (R:0.737, KL:0.204, C:0.125, Z:1.137), Val: 2.5974
Epoch: 340/800, Train Loss: 1.0217 (R:0.700, KL:0.205, C:0.117, Z:1.120), Val: 2.5662
Epoch: 350/800, Train Loss: 0.9272 (R:0.600, KL:0.205, C:0.123, Z:1.075), Val: 2.4412
Epoch: 360/800, Train Loss: 0.9468 (R:0.563, KL:0.204, C:0.180, Z:1.056), Val: 2.4280
Epoch: 370/800, Train Loss: 0.8501 (R:0.491, KL:0.205, C:0.154, Z:1.023), Val: 3.0085
Epoch: 380/800, Train Loss: 0.7795 (R:0.454, KL:0.204, C:0.121, Z:1.003), Val: 2.1438 *
Epoch: 390/800, Train Loss: 0.7415 (R:0.397, KL:0.204, C:0.140, Z:0.978), Val: 2.2318
Epoch: 400/800, Train Loss: 0.6379 (R:0.289, KL:0.204, C:0.145, Z:0.928), Val: 2.1176
Epoch: 410/800, Train Loss: 0.5194 (R:0.137, KL:0.205, C:0.177, Z:0.860), Val: 1.7783 *
Epoch: 420/800, Train Loss: 0.4175 (R:0.072, KL:0.206, C:0.139, Z:0.826), Val: 2.0389
Epoch: 430/800, Train Loss: 0.4276 (R:0.070, KL:0.206, C:0.151, Z:0.828), Val: 1.9390
Epoch: 440/800, Train Loss: 0.2810 (R:-0.041, KL:0.206, C:0.116, Z:0.775), Val: 1.8161
Epoch: 450/800, Train Loss: 0.2504 (R:-0.095, KL:0.206, C:0.138, Z:0.750), Val: 1.8045
Epoch: 460/800, Train Loss: 0.2245 (R:-0.144, KL:0.206, C:0.162, Z:0.730), Val: 1.7685
Epoch: 470/800, Train Loss: 0.1558 (R:-0.187, KL:0.206, C:0.137, Z:0.710), Val: 1.7457
Epoch: 480/800, Train Loss: 0.0872 (R:-0.234, KL:0.205, C:0.116, Z:0.690), Val: 1.7314
Epoch: 490/800, Train Loss: 0.0736 (R:-0.244, KL:0.204, C:0.113, Z:0.684), Val: 1.6666
Epoch: 500/800, Train Loss: 0.0372 (R:-0.294, KL:0.205, C:0.127, Z:0.659), Val: 1.8614
Epoch: 510/800, Train Loss: -0.0117 (R:-0.347, KL:0.204, C:0.131, Z:0.636), Val: 1.5440
Epoch: 520/800, Train Loss: -0.0655 (R:-0.366, KL:0.204, C:0.097, Z:0.628), Val: 1.7417
Epoch: 530/800, Train Loss: -0.0958 (R:-0.400, KL:0.205, C:0.099, Z:0.611), Val: 1.6566
Epoch: 540/800, Train Loss: -0.0893 (R:-0.412, KL:0.204, C:0.119, Z:0.607), Val: 1.6294
Early stopping triggered after 543 epochs
Loaded best model from epoch 483
