Epoch: 1/800, Train Loss: 27.6746 (R:20.006, KL:0.000, C:7.668, Z:10.234), Val: 25.3854 *
Epoch: 10/800, Train Loss: 17.2858 (R:14.399, KL:0.007, C:2.880, Z:7.735), Val: 17.4310 *
Epoch: 20/800, Train Loss: 13.9069 (R:12.763, KL:0.021, C:1.123, Z:6.954), Val: 14.2790 *
Epoch: 30/800, Train Loss: 11.9521 (R:11.215, KL:0.040, C:0.697, Z:6.200), Val: 12.5450 *
Epoch: 40/800, Train Loss: 10.4213 (R:9.802, KL:0.062, C:0.558, Z:5.510), Val: 11.2028
Epoch: 50/800, Train Loss: 8.8722 (R:8.378, KL:0.086, C:0.408, Z:4.813), Val: 9.5954 *
Epoch: 60/800, Train Loss: 8.1790 (R:7.665, KL:0.109, C:0.405, Z:4.469), Val: 9.1956
Epoch: 70/800, Train Loss: 7.5150 (R:7.061, KL:0.131, C:0.323, Z:4.176), Val: 8.4487 *
Epoch: 80/800, Train Loss: 7.1162 (R:6.663, KL:0.151, C:0.303, Z:3.984), Val: 8.1329 *
Epoch: 90/800, Train Loss: 6.6712 (R:6.227, KL:0.171, C:0.274, Z:3.773), Val: 7.6228 *
Epoch: 100/800, Train Loss: 6.2843 (R:5.835, KL:0.190, C:0.259, Z:3.583), Val: 7.4463
Epoch: 110/800, Train Loss: 5.8962 (R:5.428, KL:0.193, C:0.276, Z:3.387), Val: 7.0128
Epoch: 120/800, Train Loss: 5.4048 (R:4.976, KL:0.196, C:0.233, Z:3.166), Val: 6.5138 *
Epoch: 130/800, Train Loss: 4.9022 (R:4.446, KL:0.198, C:0.259, Z:2.903), Val: 6.4243
Epoch: 140/800, Train Loss: 4.4496 (R:3.980, KL:0.200, C:0.270, Z:2.673), Val: 6.0192
Epoch: 150/800, Train Loss: 4.0298 (R:3.604, KL:0.202, C:0.224, Z:2.487), Val: 5.1597 *
Epoch: 160/800, Train Loss: 3.6259 (R:3.194, KL:0.205, C:0.227, Z:2.286), Val: 4.8099 *
Epoch: 170/800, Train Loss: 3.3497 (R:2.923, KL:0.206, C:0.220, Z:2.154), Val: 4.5668 *
Epoch: 180/800, Train Loss: 3.0173 (R:2.605, KL:0.208, C:0.205, Z:1.999), Val: 4.5370
Epoch: 190/800, Train Loss: 2.7997 (R:2.361, KL:0.208, C:0.231, Z:1.881), Val: 4.1128 *
Epoch: 200/800, Train Loss: 2.6441 (R:2.238, KL:0.207, C:0.199, Z:1.821), Val: 4.2244
Epoch: 210/800, Train Loss: 2.4838 (R:2.092, KL:0.208, C:0.183, Z:1.748), Val: 3.9328
Epoch: 220/800, Train Loss: 2.3819 (R:1.948, KL:0.208, C:0.225, Z:1.679), Val: 3.8652
Epoch: 230/800, Train Loss: 2.1718 (R:1.768, KL:0.209, C:0.195, Z:1.591), Val: 3.8851
Epoch: 240/800, Train Loss: 1.9661 (R:1.574, KL:0.209, C:0.184, Z:1.498), Val: 3.1617
Epoch: 250/800, Train Loss: 1.8229 (R:1.457, KL:0.209, C:0.157, Z:1.442), Val: 3.1967
Epoch: 260/800, Train Loss: 1.6446 (R:1.290, KL:0.208, C:0.146, Z:1.361), Val: 2.9520
Epoch: 270/800, Train Loss: 1.6027 (R:1.193, KL:0.208, C:0.202, Z:1.315), Val: 3.3672
Epoch: 280/800, Train Loss: 1.4865 (R:1.108, KL:0.207, C:0.171, Z:1.274), Val: 3.1908
Epoch: 290/800, Train Loss: 1.4364 (R:1.052, KL:0.206, C:0.178, Z:1.247), Val: 2.8436
Epoch: 300/800, Train Loss: 1.3742 (R:0.967, KL:0.206, C:0.201, Z:1.208), Val: 3.2423
Epoch: 310/800, Train Loss: 1.2597 (R:0.943, KL:0.205, C:0.112, Z:1.196), Val: 2.7014 *
Epoch: 320/800, Train Loss: 1.2943 (R:0.919, KL:0.203, C:0.172, Z:1.185), Val: 2.7508
Epoch: 330/800, Train Loss: 1.1500 (R:0.827, KL:0.203, C:0.120, Z:1.142), Val: 2.6832
Epoch: 340/800, Train Loss: 1.1500 (R:0.789, KL:0.202, C:0.158, Z:1.127), Val: 2.8086
Epoch: 350/800, Train Loss: 1.0459 (R:0.689, KL:0.202, C:0.155, Z:1.079), Val: 2.8429
Epoch: 360/800, Train Loss: 1.0564 (R:0.721, KL:0.202, C:0.133, Z:1.094), Val: 2.8641
Epoch: 370/800, Train Loss: 0.9803 (R:0.658, KL:0.201, C:0.121, Z:1.066), Val: 2.6542
Early stopping triggered after 379 epochs
Loaded best model from epoch 319
