Epoch: 1/800, Train Loss: 27.4821 (R:19.563, KL:0.000, C:7.919, Z:10.017), Val: 25.6910 *
Epoch: 10/800, Train Loss: 17.7911 (R:14.543, KL:0.007, C:3.241, Z:7.811), Val: 18.0170 *
Epoch: 20/800, Train Loss: 14.0522 (R:12.568, KL:0.022, C:1.461, Z:6.856), Val: 14.5506 *
Epoch: 30/800, Train Loss: 11.4847 (R:10.616, KL:0.044, C:0.824, Z:5.902), Val: 12.1141 *
Epoch: 40/800, Train Loss: 10.6362 (R:9.995, KL:0.066, C:0.576, Z:5.614), Val: 11.3570 *
Epoch: 50/800, Train Loss: 9.8773 (R:9.349, KL:0.087, C:0.441, Z:5.305), Val: 10.7105 *
Epoch: 60/800, Train Loss: 8.8588 (R:8.339, KL:0.110, C:0.410, Z:4.812), Val: 9.7825 *
Epoch: 70/800, Train Loss: 8.1058 (R:7.666, KL:0.131, C:0.309, Z:4.485), Val: 9.1083 *
Epoch: 80/800, Train Loss: 7.5982 (R:7.170, KL:0.150, C:0.278, Z:4.242), Val: 8.7010 *
Epoch: 90/800, Train Loss: 7.1681 (R:6.695, KL:0.168, C:0.305, Z:4.005), Val: 8.4239
Epoch: 100/800, Train Loss: 6.5824 (R:6.133, KL:0.187, C:0.262, Z:3.724), Val: 7.6790 *
Epoch: 110/800, Train Loss: 6.0213 (R:5.601, KL:0.187, C:0.234, Z:3.462), Val: 7.2674
Epoch: 120/800, Train Loss: 5.5014 (R:5.070, KL:0.188, C:0.244, Z:3.203), Val: 6.6488 *
Epoch: 130/800, Train Loss: 4.9583 (R:4.496, KL:0.190, C:0.272, Z:2.926), Val: 6.0813 *
Epoch: 140/800, Train Loss: 4.2082 (R:3.779, KL:0.195, C:0.235, Z:2.583), Val: 5.2804 *
Epoch: 150/800, Train Loss: 3.6940 (R:3.287, KL:0.198, C:0.209, Z:2.348), Val: 4.7586 *
Epoch: 160/800, Train Loss: 3.2973 (R:2.869, KL:0.200, C:0.229, Z:2.148), Val: 4.3366 *
Epoch: 170/800, Train Loss: 2.9977 (R:2.559, KL:0.202, C:0.237, Z:1.999), Val: 4.2455
Epoch: 180/800, Train Loss: 2.6511 (R:2.256, KL:0.203, C:0.193, Z:1.854), Val: 3.7777 *
Epoch: 190/800, Train Loss: 2.3019 (R:1.911, KL:0.204, C:0.186, Z:1.688), Val: 3.5246
Epoch: 200/800, Train Loss: 2.0858 (R:1.691, KL:0.205, C:0.189, Z:1.583), Val: 3.1900 *
Epoch: 210/800, Train Loss: 1.8342 (R:1.456, KL:0.206, C:0.173, Z:1.471), Val: 3.2698
Epoch: 220/800, Train Loss: 1.6714 (R:1.294, KL:0.206, C:0.172, Z:1.395), Val: 3.0066
Epoch: 230/800, Train Loss: 1.5285 (R:1.164, KL:0.206, C:0.159, Z:1.333), Val: 2.8266
Epoch: 240/800, Train Loss: 1.3727 (R:1.022, KL:0.205, C:0.146, Z:1.268), Val: 2.7342
Epoch: 250/800, Train Loss: 1.2720 (R:0.920, KL:0.204, C:0.148, Z:1.218), Val: 2.6396
Epoch: 260/800, Train Loss: 1.2130 (R:0.835, KL:0.203, C:0.175, Z:1.178), Val: 2.6664
Epoch: 270/800, Train Loss: 1.0659 (R:0.673, KL:0.204, C:0.190, Z:1.102), Val: 2.3745
Epoch: 280/800, Train Loss: 1.0282 (R:0.632, KL:0.202, C:0.194, Z:1.084), Val: 2.3975
Epoch: 290/800, Train Loss: 0.9032 (R:0.529, KL:0.203, C:0.171, Z:1.038), Val: 2.3148
Epoch: 300/800, Train Loss: 0.7894 (R:0.441, KL:0.202, C:0.146, Z:0.996), Val: 2.3392
Epoch: 310/800, Train Loss: 0.7397 (R:0.394, KL:0.202, C:0.144, Z:0.973), Val: 2.2046
Epoch: 320/800, Train Loss: 0.7515 (R:0.387, KL:0.202, C:0.162, Z:0.972), Val: 2.0679
Epoch: 330/800, Train Loss: 0.6165 (R:0.277, KL:0.201, C:0.139, Z:0.921), Val: 2.0449
